Generated using GEOMAGIA50.v3.3 on Jan/11/2022
Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],VADM[E22_AmE2],SigmaVADM[E22_AmE2],SiteLat[deg.],SiteLon[deg.],ArcheoVolcanic,MatID,PIMethID,AltMonID,CoolRID,AnisoID,DatMethID,SpecTypeID,RefID,UploadYear,Uploader,Editor,LastEditDate,UID,
      -50000,       50000,       50000,        8.58,        2.27,     10.0000,    256.0000,Volcanic,4,4,1,          -1,          -1,110,1,         378,2009,Fabio Donadini,-999,-999,6873,
      -50000,       50000,       50000,        9.10,        0.60,     10.0000,    256.0000,Volcanic,4,4,1,          -1,          -1,110,1,         378,2009,Fabio Donadini,-999,-999,6874,
      -50000,       50000,       50000,       10.70,        1.96,     10.0000,    256.0000,Volcanic,4,4,1,          -1,          -1,110,1,         378,2009,Fabio Donadini,-999,-999,6875,
      -50000,       50000,       50000,       10.44,     -999.00,     10.0000,    256.0000,Volcanic,4,4,1,          -1,          -1,110,1,         378,2009,Fabio Donadini,-999,-999,6876,
      -50000,       50000,       50000,        8.28,        0.90,     10.0000,    256.0000,Volcanic,4,4,1,          -1,          -1,110,1,         378,2009,Fabio Donadini,-999,-999,6877,
      -50000,       50000,       50000,        8.99,        0.01,     10.0000,    256.0000,Volcanic,4,4,1,          -1,          -1,110,1,         378,2009,Fabio Donadini,-999,-999,6878,
      -50000,       50000,       50000,        9.83,        1.18,     10.0000,    256.0000,Volcanic,4,4,1,          -1,          -1,110,1,         378,2009,Fabio Donadini,-999,-999,6879,
      -49900,          -1,          -1,        4.08,        0.38,     19.4700,    205.1000,Volcanic,4,2,1,          -1,          -1,107;109,1,         135,2007,Fabio Donadini,-999,-999,3349,
      -49300,          -1,          -1,        3.11,        0.27,     19.4700,    205.1000,Volcanic,4,2,1,          -1,          -1,107;109,1,         135,2007,Fabio Donadini,-999,-999,3350,
      -48600,          -1,          -1,        3.49,     -999.00,     19.4700,    205.1000,Volcanic,4,2,1,          -1,          -1,107;109,1,         135,2007,Fabio Donadini,-999,-999,3351,
      -48050,          -1,          -1,        3.25,        0.16,     45.7500,      3.0500,Volcanic,4,1,-1,          -1,          -1,104,1,         154,2007,Fabio Donadini,-999,-999,3530,
      -47443,          -1,          -1,        4.87,        0.57,     17.4000,    246.8000,Volcanic,4,2,1,          -1,          -1,110,1,         375,2009,Fabio Donadini,-999,-999,6861,
      -46700,          -1,          -1,        4.55,        1.10,     19.4700,    205.1000,Volcanic,4,2,1,          -1,          -1,107;109,1,         135,2007,Fabio Donadini,-999,-999,3352,
      -46100,          -1,          -1,        3.54,        0.60,     19.4700,    205.1000,Volcanic,4,2,1,          -1,          -1,107;109,1,         135,2007,Fabio Donadini,-999,-999,3353,
      -46000,       22000,       22000,        5.84,        0.39,    -37.5000,     77.3000,Volcanic,4,2,1,          -1,          -1,107,1,         148,2007,Fabio Donadini,-999,-999,3505,
      -45914,          -1,          -1,        2.85,        0.18,     17.4000,    246.8000,Volcanic,4,2,1,          -1,          -1,110,1,         375,2009,Fabio Donadini,-999,-999,6860,
      -45400,          -1,          -1,        5.11,        2.15,     19.4700,    205.1000,Volcanic,4,2,1,          -1,          -1,107;109,1,         135,2007,Fabio Donadini,-999,-999,3354,
      -45399,          -1,          -1,        3.33,     -999.00,     17.4000,    246.8000,Volcanic,4,2,1,          -1,          -1,110,1,         375,2009,Fabio Donadini,-999,-999,6872,
      -44598,          -1,          -1,        5.81,        0.31,     19.4000,    246.5000,Volcanic,4,2,1,          -1,          -1,110,1,         375,2009,Fabio Donadini,-999,-999,6839,
      -44323,         680,         771,        4.24,        0.07,     38.5000,    -27.2000,Volcanic,4,14,-1,          -1,          -1,102,1,         776,2019,Gwenael Herve,-999,-999,11099,
      -44100,          -1,          -1,        3.22,     -999.00,     19.4700,    205.1000,Volcanic,4,2,1,          -1,          -1,107;109,1,         135,2007,Fabio Donadini,-999,-999,3355,
      -44000,         680,         680,        8.88,        1.69,     18.9347,    262.5281,Volcanic,4,4,1,          -1,          -1,104,1,         912,2020,Gwenael Herve,-999,-999,13145,
      -44000,         700,         700,        8.79,        0.45,     18.9353,    -97.4724,Volcanic,4,10,-1,          -1,          -1,104,1,         792,2019,Gwenael Herve,-999,-999,11241,
      -43500,          -1,          -1,        3.83,        0.29,     19.4700,    205.1000,Volcanic,4,2,1,          -1,          -1,107;109,1,         135,2007,Fabio Donadini,-999,-999,3356,
      -43448,        2367,        2367,        7.92,        0.69,     19.5900,    263.0100,Volcanic,4,4,1,          -1,          -1,102,1,         912,2020,Gwenael Herve,-999,-999,13144,
      -43260,          -1,          -1,        3.58,        0.20,     19.4830,    205.1000,Volcanic,4,7,1,           0,           0,106,3,          49,2007,Fabio Donadini,Maxwell Brown,7/24/2017,1158,
      -43000,          -1,          -1,        3.06,        0.19,     19.4830,    205.1000,Volcanic,4,7,1,           0,           0,106,3,          49,2007,Fabio Donadini,Maxwell Brown,7/24/2017,1159,
